A00001,N1,GLF4
A00729,N10004,C82S
A0072C,N10007,C210
A00711,N1000E,C550
A00712,N1000F,T210
A00716,N1000K,C320
A00719,N1000N,C310
A0071B,N1000Q,C310
A0071F,N1000U,C152
A00720,N1000V,SR22
A00723,N1000Y,C180
A0074B,N10013,C150
A0074C,N10014,O1
A00733,N1001D,C195
A0073B,N1001M,C172
A0073E,N1001Q,C310
A00743,N1001V,C172
A0075E,N1002M,C172
A00761,N1002Q,C310
A00765,N1002U,C150
A00790,N10032,C150
A00791,N10033,C172
A00776,N1003A,P210
A00779,N1003D,C195
A007B5,N10044,C185
A0079D,N1004E,C172
A007A4,N1004M,C172
A007AC,N1004V,C172
A007D4,N10050,C150
A007D5,N10051,C150
A007D6,N10052,C150
A007BF,N1005D,C195
A007C1,N1005F,C185
A007CA,N1005Q,C310
A007F7,N10060,DC10
A007FE,N10067,LAMA
A007FF,N10068,C150
A007E2,N1006D,C190
A007F2,N1006V,C172
A0081A,N10070,C150
A0081B,N10071,C150
A0081C,N10072,C150
A0081D,N10073,C150
A0081F,N10075,C150
A00820,N10076,C150
A00821,N10077,C150
A00808,N1007G,C421
A00813,N1007T,C182
A00824,N1008,C501
A0083D,N10080,C150
A0083F,N10082,C150
A00843,N10086,C150
A00846,N10089,C150
A00825,N1008A,C402
A00828,N1008D,C195
A00830,N1008M,C172
A00862,N10092,C150
A00866,N10096,C150
A00867,N10097,C150
A00868,N10098,C150
A0084B,N1009D,C195
A00855,N1009P,C182
A00856,N1009Q,C310
A004B4,N100A,GLF6
A004B7,N100AC,CL60
A004BB,N100AG,H25B
A004BC,N100AH,C182
A004BD,N100AJ,C421
A004BE,N100AK,ASTR
A004C0,N100AM,C500
A004C2,N100AP,DHC6
A004C4,N100AR,C56X
A004C5,N100AS,FA20
A004C9,N100AW,BE40
A004CC,N100AZ,C421
A004CD,N100B,C210
A004CF,N100BB,C172
A004D2,N100BE,BE30
A004D4,N100BG,T210
A004E2,N100BW,DHC3
A004E7,N100CA,C182
A004E9,N100CC,C425
A004ED,N100CG,C172
A004EF,N100CJ,C56X
A004F4,N100CP,C310
A004F9,N100CU,FA10
A004FC,N100CX,C414
A00501,N100DB,T210
A00505,N100DF,GLF4
A00510,N100DS,C550
A00523,N100EL,C310
A00527,N100EQ,E50P
A00529,N100ES,GLF6
A0052D,N100EW,GLF4
A00532,N100FA,C150
A00534,N100FC,C402
A00537,N100FF,E50P
A00538,N100FG,E55P
A0053A,N100FJ,FA10
